img,0,1,2,3,4,5
IMG_20180213_172431.jpg,0.021377744,0.12916051,0.010518515,0.00097167335,0.040983688,0.6300087
IMG_20180213_172436.jpg,0.038645472,0.112714425,0.015680162,0.0007334973,0.04322223,0.66394436
IMG_20180213_172456.jpg,0.036293164,0.2765003,0.00643477,0.0005672465,0.02177795,0.6508487
IMG_20180213_172615.jpg,0.020455088,0.10252954,0.010427417,0.001149057,0.036818262,0.55704343
IMG_20180213_172618.jpg,0.046696573,0.22003654,0.01804379,0.00083156547,0.05412691,0.7058679
IMG_20180213_172651.jpg,0.04208625,0.6030968,0.01831971,0.0012789585,0.025015734,0.8306539
IMG_20180213_172722.jpg,0.041539613,0.45263782,0.010069308,0.00072462653,0.032249544,0.6520175
IMG_20180213_172726.jpg,0.02736874,0.3014848,0.008813529,0.0009094749,0.022904577,0.7189021
IMG_20180213_172736.jpg,0.031109648,0.22773463,0.011344609,0.0007936622,0.034746673,0.63420385
IMG_20180213_172739.jpg,0.019092845,0.15141338,0.0044833613,0.00047095548,0.020629745,0.71730894
IMG_20180213_172902.jpg,0.020727357,0.37375984,0.00451831,0.0005800334,0.015860256,0.3729227
IMG_20180213_172911.jpg,0.012978423,0.31485805,0.006998398,0.0018296047,0.045746915,0.21866174
IMG_20180213_172913.jpg,0.0116826985,0.22245938,0.0074968203,0.0017584555,0.06808777,0.13800119
IMG_20180213_172921.jpg,0.02787945,0.1329178,0.004424308,0.0011433123,0.07263411,0.21671855
IMG_20180213_172943.jpg,0.026922258,0.75867534,0.016827716,0.0017763976,0.015542904,0.49699053
IMG_20180213_172950.jpg,0.014520479,0.4826977,0.018462377,0.00075979554,0.011508844,0.5526439
IMG_20180213_173004.jpg,0.0067854444,0.71093553,0.020638965,0.0008286313,0.018674608,0.15561841
IMG_20180213_173018.jpg,0.00439786,0.709735,0.018008066,0.0013410795,0.012704669,0.22996576
IMG_20180213_173040.jpg,0.0014049374,0.9564959,0.06977541,0.0016111034,0.016335752,0.07068909
IMG_20180213_173056.jpg,0.0010931189,0.9386032,0.0130353095,0.00035288543,0.024343561,0.06536455
IMG_20180213_173217.jpg,0.0123912515,0.72603726,0.014529767,0.0016116129,0.08225343,0.08105411
IMG_20180213_173729.jpg,0.011754544,0.60670364,0.00495388,0.0014018521,0.029797278,0.061922908
IMG_20180213_173740.jpg,0.0129535915,0.7588901,0.02663549,0.014206083,0.034561936,0.09330881
IMG_20180213_173744.jpg,0.0047306963,0.70581293,0.011219787,0.0019971053,0.0143995695,0.099950336
IMG_20180213_173749.jpg,0.0035740566,0.55851424,0.010840683,0.00052274874,0.024239015,0.04449326
IMG_20180213_173818.jpg,0.0021868048,0.9454196,0.050306957,0.0059002214,0.02460997,0.050475545
IMG_20180213_174620.jpg,0.0058621857,0.6056697,0.08036434,0.0030297113,0.059625097,0.0908328
IMG_20180213_174657.jpg,0.006564486,0.6946297,0.03523152,0.0025601073,0.072339356,0.14867282
IMG_20180213_174706.jpg,0.026203856,0.86795324,0.04776754,0.006032993,0.119344644,0.11795206
IMG_20180213_174711.jpg,0.004264485,0.6230964,0.019216815,0.0007003022,0.032674544,0.13130392
IMG_20180213_174718.jpg,0.006294738,0.53181094,0.019544553,0.0011536211,0.041335933,0.17111295
IMG_20180213_174724.jpg,0.0020318949,0.6616489,0.00912397,0.0012216741,0.032319505,0.23983999
IMG_20180213_174727.jpg,0.0062741674,0.60453033,0.01953881,0.0020712218,0.031036481,0.14841036
IMG_20180213_174936.jpg,0.65757823,0.48070776,0.043861482,0.002751962,0.0643857,0.08950051
IMG_20180213_174948.jpg,0.6288637,0.24803138,0.06727906,0.0021861733,0.07318616,0.05403923
IMG_20180213_175032.jpg,0.4852604,0.29694533,0.06336245,0.0060225395,0.070932165,0.052493993
IMG_20180213_175036.jpg,0.545024,0.15984687,0.09488232,0.0038571497,0.06402593,0.044755477
IMG_20180213_175106.jpg,0.55543727,0.16623788,0.09233973,0.001712741,0.092408076,0.027261235
